region,tech,step,FOMCost
1,1,1,61600
1,1,2,61600
1,1,3,61600
1,2,1,5000
1,2,2,5000
1,2,3,5000
1,3,1,6900
1,3,2,6900
1,3,3,6900
1,4,1,12100
1,4,2,12100
1,4,3,12100
1,5,1,5000
1,6,1,156200
1,7,1,261200
1,8,1,150600
1,9,1,5000
1,10,1,33500
1,10,2,33500
1,11,1,5000
1,12,1,40000
1,13,1,154000
1,14,1,33100
1,15,1,20200
1,15,2,5000
2,1,1,61600
2,1,2,61600
2,1,3,61600
2,2,1,5000
2,2,2,5000
2,2,3,5000
2,3,1,6900
2,3,2,6900
2,3,3,6900
2,4,1,12100
2,4,2,12100
2,4,3,12100
2,5,1,5000
2,6,1,156200
2,7,1,261200
2,8,1,150600
2,9,1,5000
2,10,1,33500
2,10,2,33500
2,11,1,5000
2,12,1,40000
2,13,1,154000
2,14,1,33100
2,15,1,20200
2,15,2,5000
3,1,1,61600
3,1,2,61600
3,1,3,61600
3,2,1,5000
3,2,2,5000
3,2,3,5000
3,3,1,6900
3,3,2,6900
3,3,3,6900
3,4,1,12100
3,4,2,12100
3,4,3,12100
3,5,1,5000
3,6,1,156200
3,7,1,261200
3,8,1,150600
3,9,1,5000
3,10,1,33500
3,10,2,33500
3,11,1,5000
3,12,1,40000
3,13,1,154000
3,14,1,33100
3,15,1,20200
3,15,2,5000
4,1,1,61600
4,1,2,61600
4,1,3,61600
4,2,1,5000
4,2,2,5000
4,2,3,5000
4,3,1,6900
4,3,2,6900
4,3,3,6900
4,4,1,12100
4,4,2,12100
4,4,3,12100
4,5,1,5000
4,6,1,156200
4,7,1,261200
4,8,1,150600
4,9,1,5000
4,10,1,33500
4,10,2,33500
4,11,1,5000
4,12,1,40000
4,13,1,154000
4,14,1,33100
4,15,1,20200
4,15,2,5000
5,1,1,61600
5,1,2,61600
5,1,3,61600
5,2,1,5000
5,2,2,5000
5,2,3,5000
5,3,1,6900
5,3,2,6900
5,3,3,6900
5,4,1,12100
5,4,2,12100
5,4,3,12100
5,5,1,5000
5,6,1,156200
5,7,1,261200
5,8,1,150600
5,9,1,5000
5,10,1,33500
5,10,2,33500
5,11,1,5000
5,12,1,40000
5,13,1,154000
5,14,1,33100
5,15,1,20200
5,15,2,5000
6,1,1,61600
6,1,2,61600
6,1,3,61600
6,2,1,5000
6,2,2,5000
6,2,3,5000
6,3,1,6900
6,3,2,6900
6,3,3,6900
6,4,1,12100
6,4,2,12100
6,4,3,12100
6,5,1,5000
6,6,1,156200
6,7,1,261200
6,8,1,150600
6,9,1,5000
6,10,1,33500
6,10,2,33500
6,11,1,5000
6,12,1,40000
6,13,1,154000
6,14,1,33100
6,15,1,20200
6,15,2,5000
7,1,1,61600
7,1,2,61600
7,1,3,61600
7,2,1,5000
7,2,2,5000
7,2,3,5000
7,3,1,6900
7,3,2,6900
7,3,3,6900
7,4,1,12100
7,4,2,12100
7,4,3,12100
7,5,1,5000
7,6,1,156200
7,7,1,261200
7,8,1,150600
7,9,1,5000
7,10,1,33500
7,10,2,33500
7,11,1,5000
7,12,1,40000
7,13,1,154000
7,14,1,33100
7,15,1,20200
7,15,2,5000
8,1,1,61600
8,1,2,61600
8,1,3,61600
8,2,1,5000
8,2,2,5000
8,2,3,5000
8,3,1,6900
8,3,2,6900
8,3,3,6900
8,4,1,12100
8,4,2,12100
8,4,3,12100
8,5,1,5000
8,6,1,156200
8,7,1,261200
8,8,1,150600
8,9,1,5000
8,10,1,33500
8,10,2,33500
8,11,1,5000
8,12,1,40000
8,13,1,154000
8,14,1,33100
8,15,1,20200
8,15,2,5000
9,1,1,61600
9,1,2,61600
9,1,3,61600
9,2,1,5000
9,2,2,5000
9,2,3,5000
9,3,1,6900
9,3,2,6900
9,3,3,6900
9,4,1,12100
9,4,2,12100
9,4,3,12100
9,5,1,5000
9,6,1,156200
9,7,1,261200
9,8,1,150600
9,9,1,5000
9,10,1,33500
9,10,2,33500
9,11,1,5000
9,12,1,40000
9,13,1,154000
9,14,1,33100
9,15,1,20200
9,15,2,5000
10,1,1,61600
10,1,2,61600
10,1,3,61600
10,2,1,5000
10,2,2,5000
10,2,3,5000
10,3,1,6900
10,3,2,6900
10,3,3,6900
10,4,1,12100
10,4,2,12100
10,4,3,12100
10,5,1,5000
10,6,1,156200
10,7,1,261200
10,8,1,150600
10,9,1,5000
10,10,1,33500
10,10,2,33500
10,11,1,5000
10,12,1,40000
10,13,1,154000
10,14,1,33100
10,15,1,20200
10,15,2,5000
11,1,1,61600
11,1,2,61600
11,1,3,61600
11,2,1,5000
11,2,2,5000
11,2,3,5000
11,3,1,6900
11,3,2,6900
11,3,3,6900
11,4,1,12100
11,4,2,12100
11,4,3,12100
11,5,1,5000
11,6,1,156200
11,7,1,261200
11,8,1,150600
11,9,1,5000
11,10,1,33500
11,10,2,33500
11,11,1,5000
11,12,1,40000
11,13,1,154000
11,14,1,33100
11,15,1,20200
11,15,2,5000
12,1,1,61600
12,1,2,61600
12,1,3,61600
12,2,1,5000
12,2,2,5000
12,2,3,5000
12,3,1,6900
12,3,2,6900
12,3,3,6900
12,4,1,12100
12,4,2,12100
12,4,3,12100
12,5,1,5000
12,6,1,156200
12,7,1,261200
12,8,1,150600
12,9,1,5000
12,10,1,33500
12,10,2,33500
12,11,1,5000
12,12,1,40000
12,13,1,154000
12,14,1,33100
12,15,1,20200
12,15,2,5000
13,1,1,61600
13,1,2,61600
13,1,3,61600
13,2,1,5000
13,2,2,5000
13,2,3,5000
13,3,1,6900
13,3,2,6900
13,3,3,6900
13,4,1,12100
13,4,2,12100
13,4,3,12100
13,5,1,5000
13,6,1,156200
13,7,1,261200
13,8,1,150600
13,9,1,5000
13,10,1,33500
13,10,2,33500
13,11,1,5000
13,12,1,40000
13,13,1,154000
13,14,1,33100
13,15,1,20200
13,15,2,5000
14,1,1,61600
14,1,2,61600
14,1,3,61600
14,2,1,5000
14,2,2,5000
14,2,3,5000
14,3,1,6900
14,3,2,6900
14,3,3,6900
14,4,1,12100
14,4,2,12100
14,4,3,12100
14,5,1,5000
14,6,1,156200
14,7,1,261200
14,8,1,150600
14,9,1,5000
14,10,1,33500
14,10,2,33500
14,11,1,5000
14,12,1,40000
14,13,1,154000
14,14,1,33100
14,15,1,20200
14,15,2,5000
15,1,1,61600
15,1,2,61600
15,1,3,61600
15,2,1,5000
15,2,2,5000
15,2,3,5000
15,3,1,6900
15,3,2,6900
15,3,3,6900
15,4,1,12100
15,4,2,12100
15,4,3,12100
15,5,1,5000
15,6,1,156200
15,7,1,261200
15,8,1,150600
15,9,1,5000
15,10,1,33500
15,10,2,33500
15,11,1,5000
15,12,1,40000
15,13,1,154000
15,14,1,33100
15,15,1,20200
15,15,2,5000
16,1,1,61600
16,1,2,61600
16,1,3,61600
16,2,1,5000
16,2,2,5000
16,2,3,5000
16,3,1,6900
16,3,2,6900
16,3,3,6900
16,4,1,12100
16,4,2,12100
16,4,3,12100
16,5,1,5000
16,6,1,156200
16,7,1,261200
16,8,1,150600
16,9,1,5000
16,10,1,33500
16,10,2,33500
16,11,1,5000
16,12,1,40000
16,13,1,154000
16,14,1,33100
16,15,1,20200
16,15,2,5000
17,1,1,61600
17,1,2,61600
17,1,3,61600
17,2,1,5000
17,2,2,5000
17,2,3,5000
17,3,1,6900
17,3,2,6900
17,3,3,6900
17,4,1,12100
17,4,2,12100
17,4,3,12100
17,5,1,5000
17,6,1,156200
17,7,1,261200
17,8,1,150600
17,9,1,5000
17,10,1,33500
17,10,2,33500
17,11,1,5000
17,12,1,40000
17,13,1,154000
17,14,1,33100
17,15,1,20200
17,15,2,5000
18,1,1,61600
18,1,2,61600
18,1,3,61600
18,2,1,5000
18,2,2,5000
18,2,3,5000
18,3,1,6900
18,3,2,6900
18,3,3,6900
18,4,1,12100
18,4,2,12100
18,4,3,12100
18,5,1,5000
18,6,1,156200
18,7,1,261200
18,8,1,150600
18,9,1,5000
18,10,1,33500
18,10,2,33500
18,11,1,5000
18,12,1,40000
18,13,1,154000
18,14,1,33100
18,15,1,20200
18,15,2,5000
19,1,1,61600
19,1,2,61600
19,1,3,61600
19,2,1,5000
19,2,2,5000
19,2,3,5000
19,3,1,6900
19,3,2,6900
19,3,3,6900
19,4,1,12100
19,4,2,12100
19,4,3,12100
19,5,1,5000
19,6,1,156200
19,7,1,261200
19,8,1,150600
19,9,1,5000
19,10,1,33500
19,10,2,33500
19,11,1,5000
19,12,1,40000
19,13,1,154000
19,14,1,33100
19,15,1,20200
19,15,2,5000
20,1,1,61600
20,1,2,61600
20,1,3,61600
20,2,1,5000
20,2,2,5000
20,2,3,5000
20,3,1,6900
20,3,2,6900
20,3,3,6900
20,4,1,12100
20,4,2,12100
20,4,3,12100
20,5,1,5000
20,6,1,156200
20,7,1,261200
20,8,1,150600
20,9,1,5000
20,10,1,33500
20,10,2,33500
20,11,1,5000
20,12,1,40000
20,13,1,154000
20,14,1,33100
20,15,1,20200
20,15,2,5000
21,1,1,61600
21,1,2,61600
21,1,3,61600
21,2,1,5000
21,2,2,5000
21,2,3,5000
21,3,1,6900
21,3,2,6900
21,3,3,6900
21,4,1,12100
21,4,2,12100
21,4,3,12100
21,5,1,5000
21,6,1,156200
21,7,1,261200
21,8,1,150600
21,9,1,5000
21,10,1,33500
21,10,2,33500
21,11,1,5000
21,12,1,40000
21,13,1,154000
21,14,1,33100
21,15,1,20200
21,15,2,5000
22,1,1,61600
22,1,2,61600
22,1,3,61600
22,2,1,5000
22,2,2,5000
22,2,3,5000
22,3,1,6900
22,3,2,6900
22,3,3,6900
22,4,1,12100
22,4,2,12100
22,4,3,12100
22,5,1,5000
22,6,1,156200
22,7,1,261200
22,8,1,150600
22,9,1,5000
22,10,1,33500
22,10,2,33500
22,11,1,5000
22,12,1,40000
22,13,1,154000
22,14,1,33100
22,15,1,20200
22,15,2,5000
23,1,1,61600
23,1,2,61600
23,1,3,61600
23,2,1,5000
23,2,2,5000
23,2,3,5000
23,3,1,6900
23,3,2,6900
23,3,3,6900
23,4,1,12100
23,4,2,12100
23,4,3,12100
23,5,1,5000
23,6,1,156200
23,7,1,261200
23,8,1,150600
23,9,1,5000
23,10,1,33500
23,10,2,33500
23,11,1,5000
23,12,1,40000
23,13,1,154000
23,14,1,33100
23,15,1,20200
23,15,2,5000
24,1,1,61600
24,1,2,61600
24,1,3,61600
24,2,1,5000
24,2,2,5000
24,2,3,5000
24,3,1,6900
24,3,2,6900
24,3,3,6900
24,4,1,12100
24,4,2,12100
24,4,3,12100
24,5,1,5000
24,6,1,156200
24,7,1,261200
24,8,1,150600
24,9,1,5000
24,10,1,33500
24,10,2,33500
24,11,1,5000
24,12,1,40000
24,13,1,154000
24,14,1,33100
24,15,1,20200
24,15,2,5000
25,1,1,61600
25,1,2,61600
25,1,3,61600
25,2,1,5000
25,2,2,5000
25,2,3,5000
25,3,1,6900
25,3,2,6900
25,3,3,6900
25,4,1,12100
25,4,2,12100
25,4,3,12100
25,5,1,5000
25,6,1,156200
25,7,1,261200
25,8,1,150600
25,9,1,5000
25,10,1,33500
25,10,2,33500
25,11,1,5000
25,12,1,40000
25,13,1,154000
25,14,1,33100
25,15,1,20200
25,15,2,5000
