region,region1,year,season,TranLimitCapInt
3,30,2023,1,2.21
3,30,2023,2,2.21
3,30,2023,3,2.21
3,30,2023,4,2.21
3,30,2024,1,2.21
3,30,2024,2,2.21
3,30,2024,3,2.21
3,30,2024,4,2.21
3,30,2025,1,2.21
3,30,2025,2,2.21
3,30,2025,3,2.21
3,30,2025,4,2.21
3,30,2026,1,2.21
3,30,2026,2,2.21
3,30,2026,3,2.21
3,30,2026,4,2.21
3,30,2027,1,2.21
3,30,2027,2,2.21
3,30,2027,3,2.21
3,30,2027,4,2.21
3,30,2028,1,2.21
3,30,2028,2,2.21
3,30,2028,3,2.21
3,30,2028,4,2.21
3,30,2029,1,2.21
3,30,2029,2,2.21
3,30,2029,3,2.21
3,30,2029,4,2.21
3,30,2030,1,2.21
3,30,2030,2,2.21
3,30,2030,3,2.21
3,30,2030,4,2.21
3,30,2031,1,2.21
3,30,2031,2,2.21
3,30,2031,3,2.21
3,30,2031,4,2.21
3,30,2032,1,2.21
3,30,2032,2,2.21
3,30,2032,3,2.21
3,30,2032,4,2.21
3,30,2033,1,2.21
3,30,2033,2,2.21
3,30,2033,3,2.21
3,30,2033,4,2.21
3,30,2034,1,2.21
3,30,2034,2,2.21
3,30,2034,3,2.21
3,30,2034,4,2.21
3,30,2035,1,2.21
3,30,2035,2,2.21
3,30,2035,3,2.21
3,30,2035,4,2.21
3,30,2036,1,2.21
3,30,2036,2,2.21
3,30,2036,3,2.21
3,30,2036,4,2.21
3,30,2037,1,2.21
3,30,2037,2,2.21
3,30,2037,3,2.21
3,30,2037,4,2.21
3,30,2038,1,2.21
3,30,2038,2,2.21
3,30,2038,3,2.21
3,30,2038,4,2.21
3,30,2039,1,2.21
3,30,2039,2,2.21
3,30,2039,3,2.21
3,30,2039,4,2.21
3,30,2040,1,2.21
3,30,2040,2,2.21
3,30,2040,3,2.21
3,30,2040,4,2.21
3,30,2041,1,2.21
3,30,2041,2,2.21
3,30,2041,3,2.21
3,30,2041,4,2.21
3,30,2042,1,2.21
3,30,2042,2,2.21
3,30,2042,3,2.21
3,30,2042,4,2.21
3,30,2043,1,2.21
3,30,2043,2,2.21
3,30,2043,3,2.21
3,30,2043,4,2.21
3,30,2044,1,2.21
3,30,2044,2,2.21
3,30,2044,3,2.21
3,30,2044,4,2.21
3,30,2045,1,2.21
3,30,2045,2,2.21
3,30,2045,3,2.21
3,30,2045,4,2.21
3,30,2046,1,2.21
3,30,2046,2,2.21
3,30,2046,3,2.21
3,30,2046,4,2.21
3,30,2047,1,2.21
3,30,2047,2,2.21
3,30,2047,3,2.21
3,30,2047,4,2.21
3,30,2048,1,2.21
3,30,2048,2,2.21
3,30,2048,3,2.21
3,30,2048,4,2.21
3,30,2049,1,2.21
3,30,2049,2,2.21
3,30,2049,3,2.21
3,30,2049,4,2.21
3,30,2050,1,2.21
3,30,2050,2,2.21
3,30,2050,3,2.21
3,30,2050,4,2.21
3,31,2023,1,0.2
3,31,2023,2,0.2
3,31,2023,3,0.2
3,31,2023,4,0.2
3,31,2024,1,0.2
3,31,2024,2,0.2
3,31,2024,3,0.2
3,31,2024,4,0.2
3,31,2025,1,0.2
3,31,2025,2,0.2
3,31,2025,3,0.2
3,31,2025,4,0.2
3,31,2026,1,0.2
3,31,2026,2,0.2
3,31,2026,3,0.2
3,31,2026,4,0.2
3,31,2027,1,0.2
3,31,2027,2,0.2
3,31,2027,3,0.2
3,31,2027,4,0.2
3,31,2028,1,0.2
3,31,2028,2,0.2
3,31,2028,3,0.2
3,31,2028,4,0.2
3,31,2029,1,0.2
3,31,2029,2,0.2
3,31,2029,3,0.2
3,31,2029,4,0.2
3,31,2030,1,0.2
3,31,2030,2,0.2
3,31,2030,3,0.2
3,31,2030,4,0.2
3,31,2031,1,0.2
3,31,2031,2,0.2
3,31,2031,3,0.2
3,31,2031,4,0.2
3,31,2032,1,0.2
3,31,2032,2,0.2
3,31,2032,3,0.2
3,31,2032,4,0.2
3,31,2033,1,0.2
3,31,2033,2,0.2
3,31,2033,3,0.2
3,31,2033,4,0.2
3,31,2034,1,0.2
3,31,2034,2,0.2
3,31,2034,3,0.2
3,31,2034,4,0.2
3,31,2035,1,0.2
3,31,2035,2,0.2
3,31,2035,3,0.2
3,31,2035,4,0.2
3,31,2036,1,0.2
3,31,2036,2,0.2
3,31,2036,3,0.2
3,31,2036,4,0.2
3,31,2037,1,0.2
3,31,2037,2,0.2
3,31,2037,3,0.2
3,31,2037,4,0.2
3,31,2038,1,0.2
3,31,2038,2,0.2
3,31,2038,3,0.2
3,31,2038,4,0.2
3,31,2039,1,0.2
3,31,2039,2,0.2
3,31,2039,3,0.2
3,31,2039,4,0.2
3,31,2040,1,0.2
3,31,2040,2,0.2
3,31,2040,3,0.2
3,31,2040,4,0.2
3,31,2041,1,0.2
3,31,2041,2,0.2
3,31,2041,3,0.2
3,31,2041,4,0.2
3,31,2042,1,0.2
3,31,2042,2,0.2
3,31,2042,3,0.2
3,31,2042,4,0.2
3,31,2043,1,0.2
3,31,2043,2,0.2
3,31,2043,3,0.2
3,31,2043,4,0.2
3,31,2044,1,0.2
3,31,2044,2,0.2
3,31,2044,3,0.2
3,31,2044,4,0.2
3,31,2045,1,0.2
3,31,2045,2,0.2
3,31,2045,3,0.2
3,31,2045,4,0.2
3,31,2046,1,0.2
3,31,2046,2,0.2
3,31,2046,3,0.2
3,31,2046,4,0.2
3,31,2047,1,0.2
3,31,2047,2,0.2
3,31,2047,3,0.2
3,31,2047,4,0.2
3,31,2048,1,0.2
3,31,2048,2,0.2
3,31,2048,3,0.2
3,31,2048,4,0.2
3,31,2049,1,0.2
3,31,2049,2,0.2
3,31,2049,3,0.2
3,31,2049,4,0.2
3,31,2050,1,0.2
3,31,2050,2,0.2
3,31,2050,3,0.2
3,31,2050,4,0.2
5,31,2023,1,1.44
5,31,2023,2,1.44
5,31,2023,3,1.44
5,31,2023,4,1.44
5,31,2024,1,1.44
5,31,2024,2,1.44
5,31,2024,3,1.44
5,31,2024,4,1.44
5,31,2025,1,1.44
5,31,2025,2,1.44
5,31,2025,3,1.44
5,31,2025,4,1.44
5,31,2026,1,1.44
5,31,2026,2,1.44
5,31,2026,3,1.44
5,31,2026,4,1.44
5,31,2027,1,1.44
5,31,2027,2,1.44
5,31,2027,3,1.44
5,31,2027,4,1.44
5,31,2028,1,1.44
5,31,2028,2,1.44
5,31,2028,3,1.44
5,31,2028,4,1.44
5,31,2029,1,1.44
5,31,2029,2,1.44
5,31,2029,3,1.44
5,31,2029,4,1.44
5,31,2030,1,1.44
5,31,2030,2,1.44
5,31,2030,3,1.44
5,31,2030,4,1.44
5,31,2031,1,1.44
5,31,2031,2,1.44
5,31,2031,3,1.44
5,31,2031,4,1.44
5,31,2032,1,1.44
5,31,2032,2,1.44
5,31,2032,3,1.44
5,31,2032,4,1.44
5,31,2033,1,1.44
5,31,2033,2,1.44
5,31,2033,3,1.44
5,31,2033,4,1.44
5,31,2034,1,1.44
5,31,2034,2,1.44
5,31,2034,3,1.44
5,31,2034,4,1.44
5,31,2035,1,1.44
5,31,2035,2,1.44
5,31,2035,3,1.44
5,31,2035,4,1.44
5,31,2036,1,1.44
5,31,2036,2,1.44
5,31,2036,3,1.44
5,31,2036,4,1.44
5,31,2037,1,1.44
5,31,2037,2,1.44
5,31,2037,3,1.44
5,31,2037,4,1.44
5,31,2038,1,1.44
5,31,2038,2,1.44
5,31,2038,3,1.44
5,31,2038,4,1.44
5,31,2039,1,1.44
5,31,2039,2,1.44
5,31,2039,3,1.44
5,31,2039,4,1.44
5,31,2040,1,1.44
5,31,2040,2,1.44
5,31,2040,3,1.44
5,31,2040,4,1.44
5,31,2041,1,1.44
5,31,2041,2,1.44
5,31,2041,3,1.44
5,31,2041,4,1.44
5,31,2042,1,1.44
5,31,2042,2,1.44
5,31,2042,3,1.44
5,31,2042,4,1.44
5,31,2043,1,1.44
5,31,2043,2,1.44
5,31,2043,3,1.44
5,31,2043,4,1.44
5,31,2044,1,1.44
5,31,2044,2,1.44
5,31,2044,3,1.44
5,31,2044,4,1.44
5,31,2045,1,1.44
5,31,2045,2,1.44
5,31,2045,3,1.44
5,31,2045,4,1.44
5,31,2046,1,1.44
5,31,2046,2,1.44
5,31,2046,3,1.44
5,31,2046,4,1.44
5,31,2047,1,1.44
5,31,2047,2,1.44
5,31,2047,3,1.44
5,31,2047,4,1.44
5,31,2048,1,1.44
5,31,2048,2,1.44
5,31,2048,3,1.44
5,31,2048,4,1.44
5,31,2049,1,1.44
5,31,2049,2,1.44
5,31,2049,3,1.44
5,31,2049,4,1.44
5,31,2050,1,1.44
5,31,2050,2,1.44
5,31,2050,3,1.44
5,31,2050,4,1.44
7,32,2023,1,2.21
7,32,2023,2,2.21
7,32,2023,3,2.21
7,32,2023,4,2.21
7,32,2024,1,2.21
7,32,2024,2,2.21
7,32,2024,3,2.21
7,32,2024,4,2.21
7,32,2025,1,2.21
7,32,2025,2,2.21
7,32,2025,3,2.21
7,32,2025,4,2.21
7,32,2026,1,2.21
7,32,2026,2,2.21
7,32,2026,3,2.21
7,32,2026,4,2.21
7,32,2027,1,2.21
7,32,2027,2,2.21
7,32,2027,3,2.21
7,32,2027,4,2.21
7,32,2028,1,2.21
7,32,2028,2,2.21
7,32,2028,3,2.21
7,32,2028,4,2.21
7,32,2029,1,2.21
7,32,2029,2,2.21
7,32,2029,3,2.21
7,32,2029,4,2.21
7,32,2030,1,2.21
7,32,2030,2,2.21
7,32,2030,3,2.21
7,32,2030,4,2.21
7,32,2031,1,2.21
7,32,2031,2,2.21
7,32,2031,3,2.21
7,32,2031,4,2.21
7,32,2032,1,2.21
7,32,2032,2,2.21
7,32,2032,3,2.21
7,32,2032,4,2.21
7,32,2033,1,2.21
7,32,2033,2,2.21
7,32,2033,3,2.21
7,32,2033,4,2.21
7,32,2034,1,2.21
7,32,2034,2,2.21
7,32,2034,3,2.21
7,32,2034,4,2.21
7,32,2035,1,2.21
7,32,2035,2,2.21
7,32,2035,3,2.21
7,32,2035,4,2.21
7,32,2036,1,2.21
7,32,2036,2,2.21
7,32,2036,3,2.21
7,32,2036,4,2.21
7,32,2037,1,2.21
7,32,2037,2,2.21
7,32,2037,3,2.21
7,32,2037,4,2.21
7,32,2038,1,2.21
7,32,2038,2,2.21
7,32,2038,3,2.21
7,32,2038,4,2.21
7,32,2039,1,2.21
7,32,2039,2,2.21
7,32,2039,3,2.21
7,32,2039,4,2.21
7,32,2040,1,2.21
7,32,2040,2,2.21
7,32,2040,3,2.21
7,32,2040,4,2.21
7,32,2041,1,2.21
7,32,2041,2,2.21
7,32,2041,3,2.21
7,32,2041,4,2.21
7,32,2042,1,2.21
7,32,2042,2,2.21
7,32,2042,3,2.21
7,32,2042,4,2.21
7,32,2043,1,2.21
7,32,2043,2,2.21
7,32,2043,3,2.21
7,32,2043,4,2.21
7,32,2044,1,2.21
7,32,2044,2,2.21
7,32,2044,3,2.21
7,32,2044,4,2.21
7,32,2045,1,2.21
7,32,2045,2,2.21
7,32,2045,3,2.21
7,32,2045,4,2.21
7,32,2046,1,2.21
7,32,2046,2,2.21
7,32,2046,3,2.21
7,32,2046,4,2.21
7,32,2047,1,2.21
7,32,2047,2,2.21
7,32,2047,3,2.21
7,32,2047,4,2.21
7,32,2048,1,2.21
7,32,2048,2,2.21
7,32,2048,3,2.21
7,32,2048,4,2.21
7,32,2049,1,2.21
7,32,2049,2,2.21
7,32,2049,3,2.21
7,32,2049,4,2.21
7,32,2050,1,2.21
7,32,2050,2,2.21
7,32,2050,3,2.21
7,32,2050,4,2.21
7,33,2023,1,0.96
7,33,2023,2,0.96
7,33,2023,3,0.96
7,33,2023,4,0.96
7,33,2024,1,0.96
7,33,2024,2,0.96
7,33,2024,3,0.96
7,33,2024,4,0.96
7,33,2025,1,0.96
7,33,2025,2,0.96
7,33,2025,3,0.96
7,33,2025,4,0.96
7,33,2026,1,0.96
7,33,2026,2,0.96
7,33,2026,3,0.96
7,33,2026,4,0.96
7,33,2027,1,0.96
7,33,2027,2,0.96
7,33,2027,3,0.96
7,33,2027,4,0.96
7,33,2028,1,0.96
7,33,2028,2,0.96
7,33,2028,3,0.96
7,33,2028,4,0.96
7,33,2029,1,0.96
7,33,2029,2,0.96
7,33,2029,3,0.96
7,33,2029,4,0.96
7,33,2030,1,0.96
7,33,2030,2,0.96
7,33,2030,3,0.96
7,33,2030,4,0.96
7,33,2031,1,0.96
7,33,2031,2,0.96
7,33,2031,3,0.96
7,33,2031,4,0.96
7,33,2032,1,0.96
7,33,2032,2,0.96
7,33,2032,3,0.96
7,33,2032,4,0.96
7,33,2033,1,0.96
7,33,2033,2,0.96
7,33,2033,3,0.96
7,33,2033,4,0.96
7,33,2034,1,0.96
7,33,2034,2,0.96
7,33,2034,3,0.96
7,33,2034,4,0.96
7,33,2035,1,0.96
7,33,2035,2,0.96
7,33,2035,3,0.96
7,33,2035,4,0.96
7,33,2036,1,0.96
7,33,2036,2,0.96
7,33,2036,3,0.96
7,33,2036,4,0.96
7,33,2037,1,0.96
7,33,2037,2,0.96
7,33,2037,3,0.96
7,33,2037,4,0.96
7,33,2038,1,0.96
7,33,2038,2,0.96
7,33,2038,3,0.96
7,33,2038,4,0.96
7,33,2039,1,0.96
7,33,2039,2,0.96
7,33,2039,3,0.96
7,33,2039,4,0.96
7,33,2040,1,0.96
7,33,2040,2,0.96
7,33,2040,3,0.96
7,33,2040,4,0.96
7,33,2041,1,0.96
7,33,2041,2,0.96
7,33,2041,3,0.96
7,33,2041,4,0.96
7,33,2042,1,0.96
7,33,2042,2,0.96
7,33,2042,3,0.96
7,33,2042,4,0.96
7,33,2043,1,0.96
7,33,2043,2,0.96
7,33,2043,3,0.96
7,33,2043,4,0.96
7,33,2044,1,0.96
7,33,2044,2,0.96
7,33,2044,3,0.96
7,33,2044,4,0.96
7,33,2045,1,0.96
7,33,2045,2,0.96
7,33,2045,3,0.96
7,33,2045,4,0.96
7,33,2046,1,0.96
7,33,2046,2,0.96
7,33,2046,3,0.96
7,33,2046,4,0.96
7,33,2047,1,0.96
7,33,2047,2,0.96
7,33,2047,3,0.96
7,33,2047,4,0.96
7,33,2048,1,0.96
7,33,2048,2,0.96
7,33,2048,3,0.96
7,33,2048,4,0.96
7,33,2049,1,0.96
7,33,2049,2,0.96
7,33,2049,3,0.96
7,33,2049,4,0.96
7,33,2050,1,0.96
7,33,2050,2,0.96
7,33,2050,3,0.96
7,33,2050,4,0.96
9,31,2023,1,1.98
9,31,2023,2,1.98
9,31,2023,3,1.98
9,31,2023,4,1.98
9,31,2024,1,1.98
9,31,2024,2,1.98
9,31,2024,3,1.98
9,31,2024,4,1.98
9,31,2025,1,1.98
9,31,2025,2,1.98
9,31,2025,3,1.98
9,31,2025,4,1.98
9,31,2026,1,1.98
9,31,2026,2,1.98
9,31,2026,3,1.98
9,31,2026,4,1.98
9,31,2027,1,1.98
9,31,2027,2,1.98
9,31,2027,3,1.98
9,31,2027,4,1.98
9,31,2028,1,1.98
9,31,2028,2,1.98
9,31,2028,3,1.98
9,31,2028,4,1.98
9,31,2029,1,1.98
9,31,2029,2,1.98
9,31,2029,3,1.98
9,31,2029,4,1.98
9,31,2030,1,1.98
9,31,2030,2,1.98
9,31,2030,3,1.98
9,31,2030,4,1.98
9,31,2031,1,1.98
9,31,2031,2,1.98
9,31,2031,3,1.98
9,31,2031,4,1.98
9,31,2032,1,1.98
9,31,2032,2,1.98
9,31,2032,3,1.98
9,31,2032,4,1.98
9,31,2033,1,1.98
9,31,2033,2,1.98
9,31,2033,3,1.98
9,31,2033,4,1.98
9,31,2034,1,1.98
9,31,2034,2,1.98
9,31,2034,3,1.98
9,31,2034,4,1.98
9,31,2035,1,1.98
9,31,2035,2,1.98
9,31,2035,3,1.98
9,31,2035,4,1.98
9,31,2036,1,1.98
9,31,2036,2,1.98
9,31,2036,3,1.98
9,31,2036,4,1.98
9,31,2037,1,1.98
9,31,2037,2,1.98
9,31,2037,3,1.98
9,31,2037,4,1.98
9,31,2038,1,1.98
9,31,2038,2,1.98
9,31,2038,3,1.98
9,31,2038,4,1.98
9,31,2039,1,1.98
9,31,2039,2,1.98
9,31,2039,3,1.98
9,31,2039,4,1.98
9,31,2040,1,1.98
9,31,2040,2,1.98
9,31,2040,3,1.98
9,31,2040,4,1.98
9,31,2041,1,1.98
9,31,2041,2,1.98
9,31,2041,3,1.98
9,31,2041,4,1.98
9,31,2042,1,1.98
9,31,2042,2,1.98
9,31,2042,3,1.98
9,31,2042,4,1.98
9,31,2043,1,1.98
9,31,2043,2,1.98
9,31,2043,3,1.98
9,31,2043,4,1.98
9,31,2044,1,1.98
9,31,2044,2,1.98
9,31,2044,3,1.98
9,31,2044,4,1.98
9,31,2045,1,1.98
9,31,2045,2,1.98
9,31,2045,3,1.98
9,31,2045,4,1.98
9,31,2046,1,1.98
9,31,2046,2,1.98
9,31,2046,3,1.98
9,31,2046,4,1.98
9,31,2047,1,1.98
9,31,2047,2,1.98
9,31,2047,3,1.98
9,31,2047,4,1.98
9,31,2048,1,1.98
9,31,2048,2,1.98
9,31,2048,3,1.98
9,31,2048,4,1.98
9,31,2049,1,1.98
9,31,2049,2,1.98
9,31,2049,3,1.98
9,31,2049,4,1.98
9,31,2050,1,1.98
9,31,2050,2,1.98
9,31,2050,3,1.98
9,31,2050,4,1.98
9,32,2023,1,1.86
9,32,2023,2,1.86
9,32,2023,3,1.86
9,32,2023,4,1.86
9,32,2024,1,1.86
9,32,2024,2,1.86
9,32,2024,3,1.86
9,32,2024,4,1.86
9,32,2025,1,1.86
9,32,2025,2,1.86
9,32,2025,3,1.86
9,32,2025,4,1.86
9,32,2026,1,1.86
9,32,2026,2,1.86
9,32,2026,3,1.86
9,32,2026,4,1.86
9,32,2027,1,1.86
9,32,2027,2,1.86
9,32,2027,3,1.86
9,32,2027,4,1.86
9,32,2028,1,1.86
9,32,2028,2,1.86
9,32,2028,3,1.86
9,32,2028,4,1.86
9,32,2029,1,1.86
9,32,2029,2,1.86
9,32,2029,3,1.86
9,32,2029,4,1.86
9,32,2030,1,1.86
9,32,2030,2,1.86
9,32,2030,3,1.86
9,32,2030,4,1.86
9,32,2031,1,1.86
9,32,2031,2,1.86
9,32,2031,3,1.86
9,32,2031,4,1.86
9,32,2032,1,1.86
9,32,2032,2,1.86
9,32,2032,3,1.86
9,32,2032,4,1.86
9,32,2033,1,1.86
9,32,2033,2,1.86
9,32,2033,3,1.86
9,32,2033,4,1.86
9,32,2034,1,1.86
9,32,2034,2,1.86
9,32,2034,3,1.86
9,32,2034,4,1.86
9,32,2035,1,1.86
9,32,2035,2,1.86
9,32,2035,3,1.86
9,32,2035,4,1.86
9,32,2036,1,1.86
9,32,2036,2,1.86
9,32,2036,3,1.86
9,32,2036,4,1.86
9,32,2037,1,1.86
9,32,2037,2,1.86
9,32,2037,3,1.86
9,32,2037,4,1.86
9,32,2038,1,1.86
9,32,2038,2,1.86
9,32,2038,3,1.86
9,32,2038,4,1.86
9,32,2039,1,1.86
9,32,2039,2,1.86
9,32,2039,3,1.86
9,32,2039,4,1.86
9,32,2040,1,1.86
9,32,2040,2,1.86
9,32,2040,3,1.86
9,32,2040,4,1.86
9,32,2041,1,1.86
9,32,2041,2,1.86
9,32,2041,3,1.86
9,32,2041,4,1.86
9,32,2042,1,1.86
9,32,2042,2,1.86
9,32,2042,3,1.86
9,32,2042,4,1.86
9,32,2043,1,1.86
9,32,2043,2,1.86
9,32,2043,3,1.86
9,32,2043,4,1.86
9,32,2044,1,1.86
9,32,2044,2,1.86
9,32,2044,3,1.86
9,32,2044,4,1.86
9,32,2045,1,1.86
9,32,2045,2,1.86
9,32,2045,3,1.86
9,32,2045,4,1.86
9,32,2046,1,1.86
9,32,2046,2,1.86
9,32,2046,3,1.86
9,32,2046,4,1.86
9,32,2047,1,1.86
9,32,2047,2,1.86
9,32,2047,3,1.86
9,32,2047,4,1.86
9,32,2048,1,1.86
9,32,2048,2,1.86
9,32,2048,3,1.86
9,32,2048,4,1.86
9,32,2049,1,1.86
9,32,2049,2,1.86
9,32,2049,3,1.86
9,32,2049,4,1.86
9,32,2050,1,1.86
9,32,2050,2,1.86
9,32,2050,3,1.86
9,32,2050,4,1.86
23,29,2023,1,2.86
23,29,2023,2,2.86
23,29,2023,3,2.86
23,29,2023,4,2.86
23,29,2024,1,2.86
23,29,2024,2,2.86
23,29,2024,3,2.86
23,29,2024,4,2.86
23,29,2025,1,2.86
23,29,2025,2,2.86
23,29,2025,3,2.86
23,29,2025,4,2.86
23,29,2026,1,2.86
23,29,2026,2,2.86
23,29,2026,3,2.86
23,29,2026,4,2.86
23,29,2027,1,2.86
23,29,2027,2,2.86
23,29,2027,3,2.86
23,29,2027,4,2.86
23,29,2028,1,2.86
23,29,2028,2,2.86
23,29,2028,3,2.86
23,29,2028,4,2.86
23,29,2029,1,2.86
23,29,2029,2,2.86
23,29,2029,3,2.86
23,29,2029,4,2.86
23,29,2030,1,2.86
23,29,2030,2,2.86
23,29,2030,3,2.86
23,29,2030,4,2.86
23,29,2031,1,2.86
23,29,2031,2,2.86
23,29,2031,3,2.86
23,29,2031,4,2.86
23,29,2032,1,2.86
23,29,2032,2,2.86
23,29,2032,3,2.86
23,29,2032,4,2.86
23,29,2033,1,2.86
23,29,2033,2,2.86
23,29,2033,3,2.86
23,29,2033,4,2.86
23,29,2034,1,2.86
23,29,2034,2,2.86
23,29,2034,3,2.86
23,29,2034,4,2.86
23,29,2035,1,2.86
23,29,2035,2,2.86
23,29,2035,3,2.86
23,29,2035,4,2.86
23,29,2036,1,2.86
23,29,2036,2,2.86
23,29,2036,3,2.86
23,29,2036,4,2.86
23,29,2037,1,2.86
23,29,2037,2,2.86
23,29,2037,3,2.86
23,29,2037,4,2.86
23,29,2038,1,2.86
23,29,2038,2,2.86
23,29,2038,3,2.86
23,29,2038,4,2.86
23,29,2039,1,2.86
23,29,2039,2,2.86
23,29,2039,3,2.86
23,29,2039,4,2.86
23,29,2040,1,2.86
23,29,2040,2,2.86
23,29,2040,3,2.86
23,29,2040,4,2.86
23,29,2041,1,2.86
23,29,2041,2,2.86
23,29,2041,3,2.86
23,29,2041,4,2.86
23,29,2042,1,2.86
23,29,2042,2,2.86
23,29,2042,3,2.86
23,29,2042,4,2.86
23,29,2043,1,2.86
23,29,2043,2,2.86
23,29,2043,3,2.86
23,29,2043,4,2.86
23,29,2044,1,2.86
23,29,2044,2,2.86
23,29,2044,3,2.86
23,29,2044,4,2.86
23,29,2045,1,2.86
23,29,2045,2,2.86
23,29,2045,3,2.86
23,29,2045,4,2.86
23,29,2046,1,2.86
23,29,2046,2,2.86
23,29,2046,3,2.86
23,29,2046,4,2.86
23,29,2047,1,2.86
23,29,2047,2,2.86
23,29,2047,3,2.86
23,29,2047,4,2.86
23,29,2048,1,2.86
23,29,2048,2,2.86
23,29,2048,3,2.86
23,29,2048,4,2.86
23,29,2049,1,2.86
23,29,2049,2,2.86
23,29,2049,3,2.86
23,29,2049,4,2.86
23,29,2050,1,2.86
23,29,2050,2,2.86
23,29,2050,3,2.86
23,29,2050,4,2.86
