region1,step,year,season,TranLimitGenInt
29,1,2023,1,0.085698
29,1,2024,1,0.085698
29,1,2025,1,0.085698
29,1,2026,1,0.085698
29,1,2027,1,0.085698
29,1,2028,1,0.085698
29,1,2029,1,0.085698
29,1,2030,1,0.085698
29,1,2031,1,0.085698
29,1,2032,1,0.085698
29,1,2033,1,0.085698
29,1,2034,1,0.085698
29,1,2035,1,0.085698
29,1,2036,1,0.085698
29,1,2037,1,0.085698
29,1,2038,1,0.085698
29,1,2039,1,0.085698
29,1,2040,1,0.085698
29,1,2041,1,0.085698
29,1,2042,1,0.085698
29,1,2043,1,0.085698
29,1,2044,1,0.085698
29,1,2045,1,0.085698
29,1,2046,1,0.085698
29,1,2047,1,0.085698
29,1,2048,1,0.085698
29,1,2049,1,0.085698
29,1,2050,1,0.085698
29,2,2023,1,0.326188
29,2,2024,1,0.326188
29,2,2025,1,0.326188
29,2,2026,1,0.326188
29,2,2027,1,0.326188
29,2,2028,1,0.326188
29,2,2029,1,0.326188
29,2,2030,1,0.326188
29,2,2031,1,0.326188
29,2,2032,1,0.326188
29,2,2033,1,0.326188
29,2,2034,1,0.326188
29,2,2035,1,0.326188
29,2,2036,1,0.326188
29,2,2037,1,0.326188
29,2,2038,1,0.326188
29,2,2039,1,0.326188
29,2,2040,1,0.326188
29,2,2041,1,0.326188
29,2,2042,1,0.326188
29,2,2043,1,0.326188
29,2,2044,1,0.326188
29,2,2045,1,0.326188
29,2,2046,1,0.326188
29,2,2047,1,0.326188
29,2,2048,1,0.326188
29,2,2049,1,0.326188
29,2,2050,1,0.326188
29,3,2023,1,0.1202
29,3,2024,1,0.1202
29,3,2025,1,0.1202
29,3,2026,1,0.1202
29,3,2027,1,0.1202
29,3,2028,1,0.1202
29,3,2029,1,0.1202
29,3,2030,1,0.1202
29,3,2031,1,0.1202
29,3,2032,1,0.1202
29,3,2033,1,0.1202
29,3,2034,1,0.1202
29,3,2035,1,0.1202
29,3,2036,1,0.1202
29,3,2037,1,0.1202
29,3,2038,1,0.1202
29,3,2039,1,0.1202
29,3,2040,1,0.1202
29,3,2041,1,0.1202
29,3,2042,1,0.1202
29,3,2043,1,0.1202
29,3,2044,1,0.1202
29,3,2045,1,0.1202
29,3,2046,1,0.1202
29,3,2047,1,0.1202
29,3,2048,1,0.1202
29,3,2049,1,0.1202
29,3,2050,1,0.1202
29,4,2023,1,0.0055
29,4,2024,1,0.0055
29,4,2025,1,0.0055
29,4,2026,1,0.0055
29,4,2027,1,0.0055
29,4,2028,1,0.0055
29,4,2029,1,0.0055
29,4,2030,1,0.0055
29,4,2031,1,0.0055
29,4,2032,1,0.0055
29,4,2033,1,0.0055
29,4,2034,1,0.0055
29,4,2035,1,0.0055
29,4,2036,1,0.0055
29,4,2037,1,0.0055
29,4,2038,1,0.0055
29,4,2039,1,0.0055
29,4,2040,1,0.0055
29,4,2041,1,0.0055
29,4,2042,1,0.0055
29,4,2043,1,0.0055
29,4,2044,1,0.0055
29,4,2045,1,0.0055
29,4,2046,1,0.0055
29,4,2047,1,0.0055
29,4,2048,1,0.0055
29,4,2049,1,0.0055
29,4,2050,1,0.0055
30,1,2023,1,0.064034
30,1,2024,1,0.064034
30,1,2025,1,0.064034
30,1,2026,1,0.064034
30,1,2027,1,0.064034
30,1,2028,1,0.064034
30,1,2029,1,0.064034
30,1,2030,1,0.064034
30,1,2031,1,0.064034
30,1,2032,1,0.064034
30,1,2033,1,0.064034
30,1,2034,1,0.064034
30,1,2035,1,0.064034
30,1,2036,1,0.064034
30,1,2037,1,0.064034
30,1,2038,1,0.064034
30,1,2039,1,0.064034
30,1,2040,1,0.064034
30,1,2041,1,0.064034
30,1,2042,1,0.064034
30,1,2043,1,0.064034
30,1,2044,1,0.064034
30,1,2045,1,0.064034
30,1,2046,1,0.064034
30,1,2047,1,0.064034
30,1,2048,1,0.064034
30,1,2049,1,0.064034
30,1,2050,1,0.064034
30,2,2023,1,0.00523
30,2,2024,1,0.00523
30,2,2025,1,0.00523
30,2,2026,1,0.00523
30,2,2027,1,0.00523
30,2,2028,1,0.00523
30,2,2029,1,0.00523
30,2,2030,1,0.00523
30,2,2031,1,0.00523
30,2,2032,1,0.00523
30,2,2033,1,0.00523
30,2,2034,1,0.00523
30,2,2035,1,0.00523
30,2,2036,1,0.00523
30,2,2037,1,0.00523
30,2,2038,1,0.00523
30,2,2039,1,0.00523
30,2,2040,1,0.00523
30,2,2041,1,0.00523
30,2,2042,1,0.00523
30,2,2043,1,0.00523
30,2,2044,1,0.00523
30,2,2045,1,0.00523
30,2,2046,1,0.00523
30,2,2047,1,0.00523
30,2,2048,1,0.00523
30,2,2049,1,0.00523
30,2,2050,1,0.00523
30,3,2023,1,0.082878
30,3,2024,1,0.082878
30,3,2025,1,0.082878
30,3,2026,1,0.082878
30,3,2027,1,0.082878
30,3,2028,1,0.082878
30,3,2029,1,0.082878
30,3,2030,1,0.082878
30,3,2031,1,0.082878
30,3,2032,1,0.082878
30,3,2033,1,0.082878
30,3,2034,1,0.082878
30,3,2035,1,0.082878
30,3,2036,1,0.082878
30,3,2037,1,0.082878
30,3,2038,1,0.082878
30,3,2039,1,0.082878
30,3,2040,1,0.082878
30,3,2041,1,0.082878
30,3,2042,1,0.082878
30,3,2043,1,0.082878
30,3,2044,1,0.082878
30,3,2045,1,0.082878
30,3,2046,1,0.082878
30,3,2047,1,0.082878
30,3,2048,1,0.082878
30,3,2049,1,0.082878
30,3,2050,1,0.082878
31,1,2023,1,0.23105
31,1,2024,1,0.23105
31,1,2025,1,0.23105
31,1,2026,1,0.23105
31,1,2027,1,0.23105
31,1,2028,1,0.23105
31,1,2029,1,0.23105
31,1,2030,1,0.23105
31,1,2031,1,0.23105
31,1,2032,1,0.23105
31,1,2033,1,0.23105
31,1,2034,1,0.23105
31,1,2035,1,0.23105
31,1,2036,1,0.23105
31,1,2037,1,0.23105
31,1,2038,1,0.23105
31,1,2039,1,0.23105
31,1,2040,1,0.23105
31,1,2041,1,0.23105
31,1,2042,1,0.23105
31,1,2043,1,0.23105
31,1,2044,1,0.23105
31,1,2045,1,0.23105
31,1,2046,1,0.23105
31,1,2047,1,0.23105
31,1,2048,1,0.23105
31,1,2049,1,0.23105
31,1,2050,1,0.23105
31,2,2023,1,0.14276
31,2,2024,1,0.14276
31,2,2025,1,0.14276
31,2,2026,1,0.14276
31,2,2027,1,0.14276
31,2,2028,1,0.14276
31,2,2029,1,0.14276
31,2,2030,1,0.14276
31,2,2031,1,0.14276
31,2,2032,1,0.14276
31,2,2033,1,0.14276
31,2,2034,1,0.14276
31,2,2035,1,0.14276
31,2,2036,1,0.14276
31,2,2037,1,0.14276
31,2,2038,1,0.14276
31,2,2039,1,0.14276
31,2,2040,1,0.14276
31,2,2041,1,0.14276
31,2,2042,1,0.14276
31,2,2043,1,0.14276
31,2,2044,1,0.14276
31,2,2045,1,0.14276
31,2,2046,1,0.14276
31,2,2047,1,0.14276
31,2,2048,1,0.14276
31,2,2049,1,0.14276
31,2,2050,1,0.14276
31,3,2023,1,3.338912
31,3,2024,1,3.338912
31,3,2025,1,3.338912
31,3,2026,1,3.338912
31,3,2027,1,3.338912
31,3,2028,1,3.338912
31,3,2029,1,3.338912
31,3,2030,1,3.338912
31,3,2031,1,3.338912
31,3,2032,1,3.338912
31,3,2033,1,3.338912
31,3,2034,1,3.338912
31,3,2035,1,3.338912
31,3,2036,1,3.338912
31,3,2037,1,3.338912
31,3,2038,1,3.338912
31,3,2039,1,3.338912
31,3,2040,1,3.338912
31,3,2041,1,3.338912
31,3,2042,1,3.338912
31,3,2043,1,3.338912
31,3,2044,1,3.338912
31,3,2045,1,3.338912
31,3,2046,1,3.338912
31,3,2047,1,3.338912
31,3,2048,1,3.338912
31,3,2049,1,3.338912
31,3,2050,1,3.338912
32,1,2023,1,0.331151
32,1,2024,1,0.331151
32,1,2025,1,0.331151
32,1,2026,1,0.331151
32,1,2027,1,0.331151
32,1,2028,1,0.331151
32,1,2029,1,0.331151
32,1,2030,1,0.331151
32,1,2031,1,0.331151
32,1,2032,1,0.331151
32,1,2033,1,0.331151
32,1,2034,1,0.331151
32,1,2035,1,0.331151
32,1,2036,1,0.331151
32,1,2037,1,0.331151
32,1,2038,1,0.331151
32,1,2039,1,0.331151
32,1,2040,1,0.331151
32,1,2041,1,0.331151
32,1,2042,1,0.331151
32,1,2043,1,0.331151
32,1,2044,1,0.331151
32,1,2045,1,0.331151
32,1,2046,1,0.331151
32,1,2047,1,0.331151
32,1,2048,1,0.331151
32,1,2049,1,0.331151
32,1,2050,1,0.331151
32,2,2023,1,0.12575
32,2,2024,1,0.12575
32,2,2025,1,0.12575
32,2,2026,1,0.12575
32,2,2027,1,0.12575
32,2,2028,1,0.12575
32,2,2029,1,0.12575
32,2,2030,1,0.12575
32,2,2031,1,0.12575
32,2,2032,1,0.12575
32,2,2033,1,0.12575
32,2,2034,1,0.12575
32,2,2035,1,0.12575
32,2,2036,1,0.12575
32,2,2037,1,0.12575
32,2,2038,1,0.12575
32,2,2039,1,0.12575
32,2,2040,1,0.12575
32,2,2041,1,0.12575
32,2,2042,1,0.12575
32,2,2043,1,0.12575
32,2,2044,1,0.12575
32,2,2045,1,0.12575
32,2,2046,1,0.12575
32,2,2047,1,0.12575
32,2,2048,1,0.12575
32,2,2049,1,0.12575
32,2,2050,1,0.12575
32,3,2023,1,0.244799
32,3,2024,1,0.244799
32,3,2025,1,0.244799
32,3,2026,1,0.244799
32,3,2027,1,0.244799
32,3,2028,1,0.244799
32,3,2029,1,0.244799
32,3,2030,1,0.244799
32,3,2031,1,0.244799
32,3,2032,1,0.244799
32,3,2033,1,0.244799
32,3,2034,1,0.244799
32,3,2035,1,0.244799
32,3,2036,1,0.244799
32,3,2037,1,0.244799
32,3,2038,1,0.244799
32,3,2039,1,0.244799
32,3,2040,1,0.244799
32,3,2041,1,0.244799
32,3,2042,1,0.244799
32,3,2043,1,0.244799
32,3,2044,1,0.244799
32,3,2045,1,0.244799
32,3,2046,1,0.244799
32,3,2047,1,0.244799
32,3,2048,1,0.244799
32,3,2049,1,0.244799
32,3,2050,1,0.244799
33,3,2023,1,0.033987
33,3,2024,1,0.033987
33,3,2025,1,0.033987
33,3,2026,1,0.033987
33,3,2027,1,0.033987
33,3,2028,1,0.033987
33,3,2029,1,0.033987
33,3,2030,1,0.033987
33,3,2031,1,0.033987
33,3,2032,1,0.033987
33,3,2033,1,0.033987
33,3,2034,1,0.033987
33,3,2035,1,0.033987
33,3,2036,1,0.033987
33,3,2037,1,0.033987
33,3,2038,1,0.033987
33,3,2039,1,0.033987
33,3,2040,1,0.033987
33,3,2041,1,0.033987
33,3,2042,1,0.033987
33,3,2043,1,0.033987
33,3,2044,1,0.033987
33,3,2045,1,0.033987
33,3,2046,1,0.033987
33,3,2047,1,0.033987
33,3,2048,1,0.033987
33,3,2049,1,0.033987
33,3,2050,1,0.033987
33,4,2023,1,0.178195
33,4,2024,1,0.178195
33,4,2025,1,0.178195
33,4,2026,1,0.178195
33,4,2027,1,0.178195
33,4,2028,1,0.178195
33,4,2029,1,0.178195
33,4,2030,1,0.178195
33,4,2031,1,0.178195
33,4,2032,1,0.178195
33,4,2033,1,0.178195
33,4,2034,1,0.178195
33,4,2035,1,0.178195
33,4,2036,1,0.178195
33,4,2037,1,0.178195
33,4,2038,1,0.178195
33,4,2039,1,0.178195
33,4,2040,1,0.178195
33,4,2041,1,0.178195
33,4,2042,1,0.178195
33,4,2043,1,0.178195
33,4,2044,1,0.178195
33,4,2045,1,0.178195
33,4,2046,1,0.178195
33,4,2047,1,0.178195
33,4,2048,1,0.178195
33,4,2049,1,0.178195
33,4,2050,1,0.178195
29,1,2023,2,0.812225
29,1,2024,2,0.812225
29,1,2025,2,0.812225
29,1,2026,2,0.812225
29,1,2027,2,0.812225
29,1,2028,2,0.812225
29,1,2029,2,0.812225
29,1,2030,2,0.812225
29,1,2031,2,0.812225
29,1,2032,2,0.812225
29,1,2033,2,0.812225
29,1,2034,2,0.812225
29,1,2035,2,0.812225
29,1,2036,2,0.812225
29,1,2037,2,0.812225
29,1,2038,2,0.812225
29,1,2039,2,0.812225
29,1,2040,2,0.812225
29,1,2041,2,0.812225
29,1,2042,2,0.812225
29,1,2043,2,0.812225
29,1,2044,2,0.812225
29,1,2045,2,0.812225
29,1,2046,2,0.812225
29,1,2047,2,0.812225
29,1,2048,2,0.812225
29,1,2049,2,0.812225
29,1,2050,2,0.812225
29,2,2023,2,0.352299
29,2,2024,2,0.352299
29,2,2025,2,0.352299
29,2,2026,2,0.352299
29,2,2027,2,0.352299
29,2,2028,2,0.352299
29,2,2029,2,0.352299
29,2,2030,2,0.352299
29,2,2031,2,0.352299
29,2,2032,2,0.352299
29,2,2033,2,0.352299
29,2,2034,2,0.352299
29,2,2035,2,0.352299
29,2,2036,2,0.352299
29,2,2037,2,0.352299
29,2,2038,2,0.352299
29,2,2039,2,0.352299
29,2,2040,2,0.352299
29,2,2041,2,0.352299
29,2,2042,2,0.352299
29,2,2043,2,0.352299
29,2,2044,2,0.352299
29,2,2045,2,0.352299
29,2,2046,2,0.352299
29,2,2047,2,0.352299
29,2,2048,2,0.352299
29,2,2049,2,0.352299
29,2,2050,2,0.352299
29,3,2023,2,0.1202
29,3,2024,2,0.1202
29,3,2025,2,0.1202
29,3,2026,2,0.1202
29,3,2027,2,0.1202
29,3,2028,2,0.1202
29,3,2029,2,0.1202
29,3,2030,2,0.1202
29,3,2031,2,0.1202
29,3,2032,2,0.1202
29,3,2033,2,0.1202
29,3,2034,2,0.1202
29,3,2035,2,0.1202
29,3,2036,2,0.1202
29,3,2037,2,0.1202
29,3,2038,2,0.1202
29,3,2039,2,0.1202
29,3,2040,2,0.1202
29,3,2041,2,0.1202
29,3,2042,2,0.1202
29,3,2043,2,0.1202
29,3,2044,2,0.1202
29,3,2045,2,0.1202
29,3,2046,2,0.1202
29,3,2047,2,0.1202
29,3,2048,2,0.1202
29,3,2049,2,0.1202
29,3,2050,2,0.1202
29,4,2023,2,0.0055
29,4,2024,2,0.0055
29,4,2025,2,0.0055
29,4,2026,2,0.0055
29,4,2027,2,0.0055
29,4,2028,2,0.0055
29,4,2029,2,0.0055
29,4,2030,2,0.0055
29,4,2031,2,0.0055
29,4,2032,2,0.0055
29,4,2033,2,0.0055
29,4,2034,2,0.0055
29,4,2035,2,0.0055
29,4,2036,2,0.0055
29,4,2037,2,0.0055
29,4,2038,2,0.0055
29,4,2039,2,0.0055
29,4,2040,2,0.0055
29,4,2041,2,0.0055
29,4,2042,2,0.0055
29,4,2043,2,0.0055
29,4,2044,2,0.0055
29,4,2045,2,0.0055
29,4,2046,2,0.0055
29,4,2047,2,0.0055
29,4,2048,2,0.0055
29,4,2049,2,0.0055
29,4,2050,2,0.0055
30,1,2023,2,0.702562
30,1,2024,2,0.702562
30,1,2025,2,0.702562
30,1,2026,2,0.702562
30,1,2027,2,0.702562
30,1,2028,2,0.702562
30,1,2029,2,0.702562
30,1,2030,2,0.702562
30,1,2031,2,0.702562
30,1,2032,2,0.702562
30,1,2033,2,0.702562
30,1,2034,2,0.702562
30,1,2035,2,0.702562
30,1,2036,2,0.702562
30,1,2037,2,0.702562
30,1,2038,2,0.702562
30,1,2039,2,0.702562
30,1,2040,2,0.702562
30,1,2041,2,0.702562
30,1,2042,2,0.702562
30,1,2043,2,0.702562
30,1,2044,2,0.702562
30,1,2045,2,0.702562
30,1,2046,2,0.702562
30,1,2047,2,0.702562
30,1,2048,2,0.702562
30,1,2049,2,0.702562
30,1,2050,2,0.702562
30,2,2023,2,0.010725
30,2,2024,2,0.010725
30,2,2025,2,0.010725
30,2,2026,2,0.010725
30,2,2027,2,0.010725
30,2,2028,2,0.010725
30,2,2029,2,0.010725
30,2,2030,2,0.010725
30,2,2031,2,0.010725
30,2,2032,2,0.010725
30,2,2033,2,0.010725
30,2,2034,2,0.010725
30,2,2035,2,0.010725
30,2,2036,2,0.010725
30,2,2037,2,0.010725
30,2,2038,2,0.010725
30,2,2039,2,0.010725
30,2,2040,2,0.010725
30,2,2041,2,0.010725
30,2,2042,2,0.010725
30,2,2043,2,0.010725
30,2,2044,2,0.010725
30,2,2045,2,0.010725
30,2,2046,2,0.010725
30,2,2047,2,0.010725
30,2,2048,2,0.010725
30,2,2049,2,0.010725
30,2,2050,2,0.010725
30,3,2023,2,0.0843
30,3,2024,2,0.0843
30,3,2025,2,0.0843
30,3,2026,2,0.0843
30,3,2027,2,0.0843
30,3,2028,2,0.0843
30,3,2029,2,0.0843
30,3,2030,2,0.0843
30,3,2031,2,0.0843
30,3,2032,2,0.0843
30,3,2033,2,0.0843
30,3,2034,2,0.0843
30,3,2035,2,0.0843
30,3,2036,2,0.0843
30,3,2037,2,0.0843
30,3,2038,2,0.0843
30,3,2039,2,0.0843
30,3,2040,2,0.0843
30,3,2041,2,0.0843
30,3,2042,2,0.0843
30,3,2043,2,0.0843
30,3,2044,2,0.0843
30,3,2045,2,0.0843
30,3,2046,2,0.0843
30,3,2047,2,0.0843
30,3,2048,2,0.0843
30,3,2049,2,0.0843
30,3,2050,2,0.0843
31,1,2023,2,0.485976
31,1,2024,2,0.485976
31,1,2025,2,0.485976
31,1,2026,2,0.485976
31,1,2027,2,0.485976
31,1,2028,2,0.485976
31,1,2029,2,0.485976
31,1,2030,2,0.485976
31,1,2031,2,0.485976
31,1,2032,2,0.485976
31,1,2033,2,0.485976
31,1,2034,2,0.485976
31,1,2035,2,0.485976
31,1,2036,2,0.485976
31,1,2037,2,0.485976
31,1,2038,2,0.485976
31,1,2039,2,0.485976
31,1,2040,2,0.485976
31,1,2041,2,0.485976
31,1,2042,2,0.485976
31,1,2043,2,0.485976
31,1,2044,2,0.485976
31,1,2045,2,0.485976
31,1,2046,2,0.485976
31,1,2047,2,0.485976
31,1,2048,2,0.485976
31,1,2049,2,0.485976
31,1,2050,2,0.485976
31,2,2023,2,0.14276
31,2,2024,2,0.14276
31,2,2025,2,0.14276
31,2,2026,2,0.14276
31,2,2027,2,0.14276
31,2,2028,2,0.14276
31,2,2029,2,0.14276
31,2,2030,2,0.14276
31,2,2031,2,0.14276
31,2,2032,2,0.14276
31,2,2033,2,0.14276
31,2,2034,2,0.14276
31,2,2035,2,0.14276
31,2,2036,2,0.14276
31,2,2037,2,0.14276
31,2,2038,2,0.14276
31,2,2039,2,0.14276
31,2,2040,2,0.14276
31,2,2041,2,0.14276
31,2,2042,2,0.14276
31,2,2043,2,0.14276
31,2,2044,2,0.14276
31,2,2045,2,0.14276
31,2,2046,2,0.14276
31,2,2047,2,0.14276
31,2,2048,2,0.14276
31,2,2049,2,0.14276
31,2,2050,2,0.14276
31,3,2023,2,3.134561
31,3,2024,2,3.134561
31,3,2025,2,3.134561
31,3,2026,2,3.134561
31,3,2027,2,3.134561
31,3,2028,2,3.134561
31,3,2029,2,3.134561
31,3,2030,2,3.134561
31,3,2031,2,3.134561
31,3,2032,2,3.134561
31,3,2033,2,3.134561
31,3,2034,2,3.134561
31,3,2035,2,3.134561
31,3,2036,2,3.134561
31,3,2037,2,3.134561
31,3,2038,2,3.134561
31,3,2039,2,3.134561
31,3,2040,2,3.134561
31,3,2041,2,3.134561
31,3,2042,2,3.134561
31,3,2043,2,3.134561
31,3,2044,2,3.134561
31,3,2045,2,3.134561
31,3,2046,2,3.134561
31,3,2047,2,3.134561
31,3,2048,2,3.134561
31,3,2049,2,3.134561
31,3,2050,2,3.134561
32,1,2023,2,3.523111
32,1,2024,2,3.523111
32,1,2025,2,3.523111
32,1,2026,2,3.523111
32,1,2027,2,3.523111
32,1,2028,2,3.523111
32,1,2029,2,3.523111
32,1,2030,2,3.523111
32,1,2031,2,3.523111
32,1,2032,2,3.523111
32,1,2033,2,3.523111
32,1,2034,2,3.523111
32,1,2035,2,3.523111
32,1,2036,2,3.523111
32,1,2037,2,3.523111
32,1,2038,2,3.523111
32,1,2039,2,3.523111
32,1,2040,2,3.523111
32,1,2041,2,3.523111
32,1,2042,2,3.523111
32,1,2043,2,3.523111
32,1,2044,2,3.523111
32,1,2045,2,3.523111
32,1,2046,2,3.523111
32,1,2047,2,3.523111
32,1,2048,2,3.523111
32,1,2049,2,3.523111
32,1,2050,2,3.523111
32,2,2023,2,0.12575
32,2,2024,2,0.12575
32,2,2025,2,0.12575
32,2,2026,2,0.12575
32,2,2027,2,0.12575
32,2,2028,2,0.12575
32,2,2029,2,0.12575
32,2,2030,2,0.12575
32,2,2031,2,0.12575
32,2,2032,2,0.12575
32,2,2033,2,0.12575
32,2,2034,2,0.12575
32,2,2035,2,0.12575
32,2,2036,2,0.12575
32,2,2037,2,0.12575
32,2,2038,2,0.12575
32,2,2039,2,0.12575
32,2,2040,2,0.12575
32,2,2041,2,0.12575
32,2,2042,2,0.12575
32,2,2043,2,0.12575
32,2,2044,2,0.12575
32,2,2045,2,0.12575
32,2,2046,2,0.12575
32,2,2047,2,0.12575
32,2,2048,2,0.12575
32,2,2049,2,0.12575
32,2,2050,2,0.12575
32,3,2023,2,0.2448
32,3,2024,2,0.2448
32,3,2025,2,0.2448
32,3,2026,2,0.2448
32,3,2027,2,0.2448
32,3,2028,2,0.2448
32,3,2029,2,0.2448
32,3,2030,2,0.2448
32,3,2031,2,0.2448
32,3,2032,2,0.2448
32,3,2033,2,0.2448
32,3,2034,2,0.2448
32,3,2035,2,0.2448
32,3,2036,2,0.2448
32,3,2037,2,0.2448
32,3,2038,2,0.2448
32,3,2039,2,0.2448
32,3,2040,2,0.2448
32,3,2041,2,0.2448
32,3,2042,2,0.2448
32,3,2043,2,0.2448
32,3,2044,2,0.2448
32,3,2045,2,0.2448
32,3,2046,2,0.2448
32,3,2047,2,0.2448
32,3,2048,2,0.2448
32,3,2049,2,0.2448
32,3,2050,2,0.2448
33,1,2023,2,0.064587
33,1,2024,2,0.064587
33,1,2025,2,0.064587
33,1,2026,2,0.064587
33,1,2027,2,0.064587
33,1,2028,2,0.064587
33,1,2029,2,0.064587
33,1,2030,2,0.064587
33,1,2031,2,0.064587
33,1,2032,2,0.064587
33,1,2033,2,0.064587
33,1,2034,2,0.064587
33,1,2035,2,0.064587
33,1,2036,2,0.064587
33,1,2037,2,0.064587
33,1,2038,2,0.064587
33,1,2039,2,0.064587
33,1,2040,2,0.064587
33,1,2041,2,0.064587
33,1,2042,2,0.064587
33,1,2043,2,0.064587
33,1,2044,2,0.064587
33,1,2045,2,0.064587
33,1,2046,2,0.064587
33,1,2047,2,0.064587
33,1,2048,2,0.064587
33,1,2049,2,0.064587
33,1,2050,2,0.064587
33,2,2023,2,0.07461
33,2,2024,2,0.07461
33,2,2025,2,0.07461
33,2,2026,2,0.07461
33,2,2027,2,0.07461
33,2,2028,2,0.07461
33,2,2029,2,0.07461
33,2,2030,2,0.07461
33,2,2031,2,0.07461
33,2,2032,2,0.07461
33,2,2033,2,0.07461
33,2,2034,2,0.07461
33,2,2035,2,0.07461
33,2,2036,2,0.07461
33,2,2037,2,0.07461
33,2,2038,2,0.07461
33,2,2039,2,0.07461
33,2,2040,2,0.07461
33,2,2041,2,0.07461
33,2,2042,2,0.07461
33,2,2043,2,0.07461
33,2,2044,2,0.07461
33,2,2045,2,0.07461
33,2,2046,2,0.07461
33,2,2047,2,0.07461
33,2,2048,2,0.07461
33,2,2049,2,0.07461
33,2,2050,2,0.07461
33,3,2023,2,0.381419
33,3,2024,2,0.381419
33,3,2025,2,0.381419
33,3,2026,2,0.381419
33,3,2027,2,0.381419
33,3,2028,2,0.381419
33,3,2029,2,0.381419
33,3,2030,2,0.381419
33,3,2031,2,0.381419
33,3,2032,2,0.381419
33,3,2033,2,0.381419
33,3,2034,2,0.381419
33,3,2035,2,0.381419
33,3,2036,2,0.381419
33,3,2037,2,0.381419
33,3,2038,2,0.381419
33,3,2039,2,0.381419
33,3,2040,2,0.381419
33,3,2041,2,0.381419
33,3,2042,2,0.381419
33,3,2043,2,0.381419
33,3,2044,2,0.381419
33,3,2045,2,0.381419
33,3,2046,2,0.381419
33,3,2047,2,0.381419
33,3,2048,2,0.381419
33,3,2049,2,0.381419
33,3,2050,2,0.381419
33,4,2023,2,0.20457
33,4,2024,2,0.20457
33,4,2025,2,0.20457
33,4,2026,2,0.20457
33,4,2027,2,0.20457
33,4,2028,2,0.20457
33,4,2029,2,0.20457
33,4,2030,2,0.20457
33,4,2031,2,0.20457
33,4,2032,2,0.20457
33,4,2033,2,0.20457
33,4,2034,2,0.20457
33,4,2035,2,0.20457
33,4,2036,2,0.20457
33,4,2037,2,0.20457
33,4,2038,2,0.20457
33,4,2039,2,0.20457
33,4,2040,2,0.20457
33,4,2041,2,0.20457
33,4,2042,2,0.20457
33,4,2043,2,0.20457
33,4,2044,2,0.20457
33,4,2045,2,0.20457
